 EFERMI(eV) omega(eV) xx yy zz xy xz yz x y z
47 8.035 0.0 -4.65877e-12 1.32286e-11 1.40569e-13 -4.39348e-11 -5.61687e-13 1.21139e-11 6.58536e-12 -1.11825e-13 -3.83727e-08
48 8.04 0.0 2.42988e-12 6.16862e-12 1.5064e-13 -3.00302e-11 -3.61474e-13 1.18415e-11 6.46358e-12 -4.57646e-13 -6.3299e-08
49 8.045 0.0 9.66575e-13 4.16633e-12 1.79326e-13 -1.28762e-11 -4.51838e-13 1.35505e-11 8.27177e-12 -5.01214e-13 -9.64009e-08
50 8.05 0.0 2.28704e-12 4.31161e-12 2.17379e-13 -4.94237e-12 -6.03541e-13 1.30438e-11 7.66395e-12 -4.80519e-13 -7.89508e-08
51 8.055 0.0 6.79385e-12 5.03281e-12 2.35032e-13 -2.98637e-12 -5.19858e-13 6.0984e-12 7.32641e-13 -6.66257e-13 -5.12504e-08
52 8.06 0.0 5.92844e-12 4.58764e-12 2.44787e-13 -3.32211e-12 -3.39727e-13 3.71099e-12 -1.22456e-12 -9.00918e-13 -6.85959e-08
53 8.065 0.0 -1.32494e-12 3.11558e-12 2.82424e-13 -4.43397e-12 -4.97193e-13 1.24929e-11 7.87456e-12 -8.16062e-13 -1.05419e-07
54 8.07 0.0 -3.94643e-12 2.3927e-12 3.36505e-13 -3.42379e-12 -8.86663e-13 1.62875e-11 1.14364e-11 -5.20898e-13 -1.13786e-07
55 8.075 0.0 3.86169e-12 3.44175e-12 3.63789e-13 -5.25637e-13 -8.25174e-13 4.81896e-12 -9.59412e-14 -6.38271e-13 -8.36435e-08
56 8.08 0.0 9.48875e-12 4.62327e-12 3.67897e-13 -6.76251e-13 -2.70808e-13 -5.55816e-12 -9.68905e-12 -1.19196e-12 -6.12746e-08
57 8.085 0.0 1.54369e-12 3.40826e-12 3.97818e-13 -3.77696e-12 -1.52494e-13 4.22847e-13 -2.64502e-12 -1.27167e-12 -9.84198e-08
58 8.09 0.0 -8.52622e-12 8.89358e-13 4.62382e-13 -4.53269e-12 -8.04065e-13 1.40179e-11 1.12456e-11 -6.11475e-13 -1.49942e-07
59 8.095 0.0 -4.79539e-12 1.12274e-12 5.11924e-13 -1.25331e-12 -1.17872e-12 1.35868e-11 1.0432e-11 -2.80508e-13 -1.28867e-07
60 8.1 0.0 6.3612e-12 4.36704e-12 5.1942e-13 4.26689e-12 -5.47174e-13 -5.98645e-12 -8.82855e-12 -8.9198e-13 -7.48741e-08
61 8.105 0.0 8.18905e-12 5.32169e-12 5.21655e-13 1.21525e-11 2.43011e-13 -1.922e-11 -2.03444e-11 -1.54879e-12 -8.89302e-08
62 8.11 0.0 -9.31164e-13 1.20605e-12 5.66734e-13 2.04381e-11 2.00715e-14 -5.39847e-12 -4.68694e-12 -1.20748e-12 -1.45828e-07
63 8.115 0.0 -9.88097e-12 -2.2016e-12 6.42428e-13 1.59883e-11 -9.76212e-13 1.68527e-11 1.80718e-11 -2.06545e-13 -1.62351e-07
64 8.12 0.0 -8.43097e-12 8.88339e-13 6.85205e-13 -5.3574e-12 -1.29105e-12 1.16821e-11 1.27249e-11 9.04523e-14 -1.37576e-07
65 8.125 0.0 3.05926e-12 5.81631e-12 6.69293e-13 -2.09963e-11 -2.54262e-13 -1.83515e-11 -1.6542e-11 -8.50508e-13 -1.10343e-07
66 8.13 0.0 1.004e-11 4.20707e-12 6.56571e-13 -1.9053e-11 8.2838e-13 -3.21114e-11 -2.84461e-11 -1.74313e-12 -1.09205e-07
67 8.135 0.0 8.99951e-13 -2.03303e-12 7.11429e-13 -1.22424e-11 3.66321e-13 -1.19672e-11 -7.14309e-12 -1.15176e-12 -1.48985e-07
68 8.14 0.0 -1.43362e-11 -3.34816e-12 7.91308e-13 -7.23568e-12 -1.09225e-12 1.48806e-11 1.89176e-11 2.86276e-13 -1.95763e-07
69 8.145 0.0 -1.44231e-11 1.74842e-12 8.08304e-13 -8.72843e-13 -1.47723e-12 1.24072e-11 1.52045e-11 6.47928e-13 -1.78998e-07
70 8.15 0.0 1.70713e-12 5.1587e-12 7.64482e-13 4.77472e-12 -9.81287e-14 -1.94129e-11 -1.58814e-11 -6.00719e-13 -1.17946e-07
71 8.155 0.0 1.09758e-11 2.39636e-12 7.41446e-13 3.76863e-12 1.27948e-12 -4.03053e-11 -3.40384e-11 -1.78732e-12 -1.20315e-07
72 8.16 0.0 9.69299e-13 -2.37575e-12 7.81914e-13 -2.62046e-12 7.87233e-13 -2.54714e-11 -1.71877e-11 -1.22874e-12 -1.83422e-07
73 8.165 0.0 -1.41384e-11 -3.48063e-12 8.36329e-13 -7.53418e-12 -1.00267e-12 5.45992e-12 1.28899e-11 4.92395e-13 -2.11945e-07
74 8.17 0.0 -1.6093e-11 -4.19748e-13 8.36554e-13 -8.29266e-12 -1.81895e-12 1.64958e-11 2.19823e-11 1.27919e-12 -1.88882e-07
75 8.175 0.0 -4.15626e-12 3.05706e-12 7.80999e-13 -1.29147e-11 -4.9514e-13 -8.66982e-12 -2.11036e-12 5.09333e-14 -1.6502e-07
76 8.18 0.0 5.71363e-12 3.1382e-12 7.28899e-13 -2.14381e-11 1.38648e-12 -4.09365e-11 -2.98324e-11 -1.71519e-12 -1.61218e-07
77 8.185 0.0 1.74319e-12 -6.21984e-13 7.2532e-13 -1.08285e-11 1.31069e-12 -4.13814e-11 -2.74381e-11 -1.61411e-12 -1.71433e-07
78 8.19 0.0 -9.06957e-12 -4.37979e-12 7.43542e-13 1.56293e-11 -7.16527e-13 -1.30734e-11 -1.76218e-12 3.2304e-13 -2.05753e-07
79 8.195 0.0 -1.46702e-11 -3.13901e-12 7.28972e-13 2.42107e-11 -2.19328e-12 1.23536e-11 1.87177e-11 1.69085e-12 -2.3966e-07
80 8.2 0.0 -1.13995e-11 2.42595e-12 6.71542e-13 1.59263e-11 -1.32516e-12 6.86434e-12 1.1015e-11 8.58312e-13 -2.18135e-07
81 8.205 0.0 -3.50574e-12 4.85088e-12 5.96979e-13 9.51713e-12 8.56038e-13 -2.323e-11 -1.75455e-11 -1.19014e-12 -1.69097e-07
82 8.21 0.0 5.94992e-13 3.73273e-13 5.29299e-13 4.91923e-12 1.59955e-12 -4.02221e-11 -3.20898e-11 -1.92229e-12 -1.79791e-07
83 8.215 0.0 -2.37582e-12 -5.38762e-12 4.86765e-13 -8.14391e-13 -9.79902e-14 -2.91791e-11 -2.11134e-11 -3.93565e-13 -2.34204e-07
84 8.22 0.0 -8.64681e-12 -4.84419e-12 4.66494e-13 -4.77462e-12 -2.2286e-12 -5.3597e-12 -6.30162e-13 1.55811e-12 -2.45671e-07
85 8.225 0.0 -1.28822e-11 1.05147e-12 4.25375e-13 -3.32221e-12 -2.40209e-12 1.21595e-11 1.31584e-11 1.74242e-12 -2.26494e-07
86 8.23 0.0 -1.13687e-11 4.24383e-12 3.27303e-13 1.47515e-12 -4.35462e-13 5.2134e-12 5.6224e-12 -8.83671e-14 -2.29627e-07
87 8.235 0.0 -6.1771e-12 1.25706e-12 2.04224e-13 3.08358e-12 1.35842e-12 -2.02234e-11 -1.75856e-11 -1.85552e-12 -2.37204e-07
88 8.24 0.0 -3.31734e-12 -3.79604e-12 1.21085e-13 1.9496e-12 6.84023e-13 -3.41529e-11 -3.04179e-11 -1.30395e-12 -2.23105e-07
89 8.245 0.0 -3.59041e-12 -5.63326e-12 7.83737e-14 1.06027e-12 -1.67196e-12 -2.44723e-11 -2.32296e-11 8.81473e-13 -2.18322e-07
90 8.25 0.0 -4.5825e-12 -2.58341e-12 1.92827e-14 -1.91537e-12 -2.98598e-12 -1.92969e-12 -5.09769e-12 2.10649e-12 -2.56912e-07
91 8.255 0.0 -8.77817e-12 2.37713e-12 -7.32929e-14 -4.52027e-12 -1.97734e-12 1.50346e-11 8.99649e-12 1.21098e-12 -2.9146e-07
92 8.26 0.0 -1.47178e-11 3.28362e-12 -1.74461e-13 -1.59933e-12 1.72977e-13 1.01224e-11 4.37381e-12 -7.40254e-13 -2.68596e-07
93 8.265 0.0 -1.36215e-11 -1.58497e-12 -2.77915e-13 3.17518e-12 1.08586e-12 -9.88618e-12 -1.39938e-11 -1.63008e-12 -2.36108e-07
94 8.27 0.0 -4.99586e-12 -6.01177e-12 -3.87859e-13 4.53405e-12 -3.06745e-13 -2.33699e-11 -2.7685e-11 -4.07947e-13 -2.47033e-07
95 8.275 0.0 2.47847e-12 -4.38999e-12 -4.82373e-13 2.31173e-12 -2.48763e-12 -2.1472e-11 -2.8981e-11 1.65093e-12 -2.68482e-07
96 8.28 0.0 9.73275e-13 7.56635e-13 -5.36579e-13 -1.68576e-12 -3.20349e-12 -4.71049e-12 -1.63935e-11 2.48843e-12 -2.72267e-07
97 8.285 0.0 -1.07642e-11 2.44682e-12 -5.77212e-13 -4.04594e-12 -1.6687e-12 1.76492e-11 3.94708e-12 1.232e-12 -2.90081e-07
98 8.29 0.0 -2.10131e-11 -5.66142e-13 -6.61671e-13 -2.43382e-12 6.971e-13 2.26565e-11 9.9063e-12 -9.55975e-13 -3.18214e-07
