 EFERMI(eV) omega(eV) xx yy zz xy xz yz x y z
47 8.035 0.0 -1.74508e-11 4.08104e-14 -2.2868e-11 1.315e-11 -6.31874e-09 6.38122e-09 5.68272e-09 5.65892e-09 -5.82202e-07
48 8.04 0.0 -1.28064e-11 -1.80351e-12 -2.36921e-11 -3.48327e-11 -6.59648e-09 6.67267e-09 5.9288e-09 5.89298e-09 -5.94272e-07
49 8.045 0.0 -1.4746e-11 -2.79247e-12 -2.47034e-11 -6.10722e-11 -6.91427e-09 7.00656e-09 6.20886e-09 6.15886e-09 -6.21424e-07
50 8.05 0.0 -1.71362e-11 -3.76101e-12 -2.58632e-11 -6.879e-11 -7.12401e-09 7.22871e-09 6.37614e-09 6.31546e-09 -6.48651e-07
51 8.055 0.0 -1.50517e-11 -3.03249e-12 -2.64645e-11 -7.08937e-11 -7.24479e-09 7.35779e-09 6.45909e-09 6.39114e-09 -6.58431e-07
52 8.06 0.0 -9.54561e-12 -3.23932e-12 -2.66566e-11 -7.50062e-11 -7.44601e-09 7.56758e-09 6.62239e-09 6.54679e-09 -6.61645e-07
53 8.065 0.0 -8.1658e-12 -4.97143e-12 -2.7128e-11 -7.99388e-11 -7.76198e-09 7.89385e-09 6.88803e-09 6.80363e-09 -6.80532e-07
54 8.07 0.0 -1.30498e-11 -5.03677e-12 -2.76447e-11 -8.14929e-11 -8.01094e-09 8.15157e-09 7.08028e-09 6.98847e-09 -7.11486e-07
55 8.075 0.0 -1.43587e-11 -4.42122e-12 -2.75141e-11 -8.14252e-11 -8.10748e-09 8.25225e-09 7.12636e-09 7.03071e-09 -7.29494e-07
56 8.08 0.0 -7.04821e-12 -5.82963e-12 -2.6971e-11 -8.4759e-11 -8.23307e-09 8.37959e-09 7.20255e-09 7.10518e-09 -7.29597e-07
57 8.085 0.0 -2.69225e-13 -7.30839e-12 -2.66462e-11 -9.06921e-11 -8.5134e-09 8.6624e-09 7.4223e-09 7.32327e-09 -7.34342e-07
58 8.09 0.0 -2.49163e-12 -6.78096e-12 -2.63763e-11 -9.42759e-11 -8.80941e-09 8.95908e-09 7.64609e-09 7.54755e-09 -7.58114e-07
59 8.095 0.0 -8.88369e-12 -6.23847e-12 -2.57095e-11 -9.42902e-11 -8.97103e-09 9.11724e-09 7.73362e-09 7.63906e-09 -7.88224e-07
60 8.1 0.0 -7.12459e-12 -6.99e-12 -2.47171e-11 -9.315e-11 -9.05145e-09 9.19182e-09 7.74461e-09 7.65585e-09 -8.01745e-07
61 8.105 0.0 5.33396e-12 -7.84128e-12 -2.36165e-11 -8.87036e-11 -9.19957e-09 9.33211e-09 7.82186e-09 7.74135e-09 -7.96757e-07
62 8.11 0.0 1.48154e-11 -8.36675e-12 -2.24528e-11 -7.1419e-11 -9.46893e-09 9.59314e-09 8.00997e-09 7.93905e-09 -7.98131e-07
63 8.115 0.0 1.06067e-11 -8.57966e-12 -2.13057e-11 -4.28869e-11 -9.76347e-09 9.88275e-09 8.21477e-09 8.15018e-09 -8.24774e-07
64 8.12 0.0 2.52103e-12 -7.31134e-12 -2.00747e-11 -3.03008e-11 -9.91906e-09 1.00336e-08 8.28148e-09 8.22204e-09 -8.5896e-07
65 8.125 0.0 6.16706e-12 -5.74633e-12 -1.85041e-11 -5.1968e-11 -9.93849e-09 1.00397e-08 8.2153e-09 8.16891e-09 -8.67914e-07
66 8.13 0.0 1.78347e-11 -7.58771e-12 -1.67915e-11 -8.80449e-11 -1.0046e-08 1.01269e-08 8.23305e-09 8.20744e-09 -8.55756e-07
67 8.135 0.0 2.15962e-11 -1.09862e-11 -1.53488e-11 -1.13632e-10 -1.03443e-08 1.04092e-08 8.43177e-09 8.42347e-09 -8.56142e-07
68 8.14 0.0 1.38481e-11 -9.08718e-12 -1.40951e-11 -1.24604e-10 -1.06522e-08 1.07099e-08 8.63424e-09 8.63457e-09 -8.82269e-07
69 8.145 0.0 5.20383e-12 -2.89996e-12 -1.26597e-11 -1.2578e-10 -1.07671e-08 1.08173e-08 8.64577e-09 8.6547e-09 -9.13904e-07
70 8.15 0.0 6.90644e-12 -1.98391e-12 -1.10371e-11 -1.23792e-10 -1.07556e-08 1.07874e-08 8.53296e-09 8.5618e-09 -9.26006e-07
71 8.155 0.0 1.84404e-11 -7.86215e-12 -9.54218e-12 -1.26126e-10 -1.08461e-08 1.08512e-08 8.5162e-09 8.57413e-09 -9.18117e-07
72 8.16 0.0 2.80924e-11 -1.05785e-11 -8.35996e-12 -1.34016e-10 -1.10965e-08 1.10823e-08 8.65342e-09 8.73371e-09 -9.10032e-07
73 8.165 0.0 2.50004e-11 -4.69889e-12 -7.45313e-12 -1.40606e-10 -1.13792e-08 1.13607e-08 8.82499e-09 8.91289e-09 -9.21455e-07
74 8.17 0.0 1.18193e-11 2.03546e-12 -6.59265e-12 -1.35584e-10 -1.15456e-08 1.15228e-08 8.88007e-09 8.97568e-09 -9.54169e-07
75 8.175 0.0 5.59477e-12 1.32573e-12 -5.5854e-12 -1.08791e-10 -1.15519e-08 1.15078e-08 8.7657e-09 8.88695e-09 -9.82218e-07
76 8.18 0.0 1.6842e-11 -3.09531e-12 -4.71174e-12 -6.06339e-11 -1.15447e-08 1.14694e-08 8.63126e-09 8.7899e-09 -9.79303e-07
77 8.185 0.0 3.31247e-11 -3.92345e-12 -4.44007e-12 -2.23046e-11 -1.16899e-08 1.15953e-08 8.65633e-09 8.84163e-09 -9.57466e-07
78 8.19 0.0 3.38802e-11 -6.76112e-13 -4.67233e-12 -3.54652e-11 -1.19629e-08 1.18653e-08 8.81856e-09 9.01253e-09 -9.54059e-07
79 8.195 0.0 1.72896e-11 2.92186e-12 -4.87817e-12 -8.80319e-11 -1.21959e-08 1.20967e-08 8.93623e-09 9.13548e-09 -9.84216e-07
80 8.2 0.0 1.53158e-12 5.63626e-12 -4.98987e-12 -1.30093e-10 -1.22439e-08 1.21331e-08 8.85783e-09 9.07255e-09 -1.02129e-06
81 8.205 0.0 2.99979e-12 7.56588e-12 -5.63342e-12 -1.46797e-10 -1.21688e-08 1.20349e-08 8.65202e-09 8.89595e-09 -1.02912e-06
82 8.21 0.0 1.60571e-11 5.1659e-12 -7.06247e-12 -1.5404e-10 -1.21788e-08 1.2016e-08 8.53207e-09 8.81267e-09 -1.00878e-06
83 8.215 0.0 2.14611e-11 -1.08493e-12 -8.60081e-12 -1.60587e-10 -1.23482e-08 1.21677e-08 8.57728e-09 8.88389e-09 -9.92737e-07
84 8.22 0.0 1.33331e-11 -1.22345e-12 -9.82126e-12 -1.66836e-10 -1.25894e-08 1.24154e-08 8.70565e-09 9.01388e-09 -1.00261e-06
85 8.225 0.0 -8.81443e-13 9.56426e-12 -1.12987e-11 -1.70017e-10 -1.27552e-08 1.26004e-08 8.76434e-09 9.06174e-09 -1.03352e-06
86 8.23 0.0 -1.07705e-11 1.85294e-11 -1.3722e-11 -1.66702e-10 -1.27272e-08 1.25725e-08 8.61577e-09 8.92266e-09 -1.06093e-06
87 8.235 0.0 -1.04117e-11 1.15697e-11 -1.67906e-11 -1.6123e-10 -1.25839e-08 1.23945e-08 8.32697e-09 8.67887e-09 -1.06159e-06
88 8.24 0.0 -4.51909e-12 -2.86948e-12 -1.95606e-11 -1.62232e-10 -1.25393e-08 1.23121e-08 8.13548e-09 8.53539e-09 -1.0392e-06
89 8.245 0.0 -3.27993e-13 -5.14361e-12 -2.201e-11 -1.70723e-10 -1.26888e-08 1.24643e-08 8.17367e-09 8.58073e-09 -1.02062e-06
90 8.25 0.0 -5.01069e-12 6.74471e-12 -2.50577e-11 -1.77815e-10 -1.29386e-08 1.27519e-08 8.34202e-09 8.72131e-09 -1.03e-06
91 8.255 0.0 -2.08232e-11 1.66951e-11 -2.89367e-11 -1.75927e-10 -1.30652e-08 1.29052e-08 8.37136e-09 8.73471e-09 -1.06473e-06
92 8.26 0.0 -3.7205e-11 1.2686e-11 -3.29289e-11 -1.68913e-10 -1.29099e-08 1.27359e-08 8.0758e-09 8.46451e-09 -1.09281e-06
93 8.265 0.0 -4.15864e-11 7.95274e-13 -3.66771e-11 -1.65896e-10 -1.26382e-08 1.24256e-08 7.64391e-09 8.0827e-09 -1.08521e-06
94 8.27 0.0 -3.42986e-11 -6.69791e-12 -4.06644e-11 -1.68557e-10 -1.25613e-08 1.23286e-08 7.43691e-09 7.90682e-09 -1.05173e-06
95 8.275 0.0 -2.81423e-11 -6.86121e-12 -4.51463e-11 -1.7231e-10 -1.27362e-08 1.2525e-08 7.53082e-09 7.98969e-09 -1.03198e-06
96 8.28 0.0 -3.34002e-11 -2.00742e-12 -4.95277e-11 -1.75186e-10 -1.29593e-08 1.27897e-08 7.68468e-09 8.1123e-09 -1.05075e-06
97 8.285 0.0 -5.02307e-11 4.31241e-12 -5.34168e-11 -1.7561e-10 -1.298e-08 1.28379e-08 7.60196e-09 8.0123e-09 -1.09001e-06
98 8.29 0.0 -7.04545e-11 4.75838e-12 -5.76612e-11 -1.71288e-10 -1.27163e-08 1.25762e-08 7.20137e-09 7.62092e-09 -1.10651e-06
